"account_id","num_credit","num_withdrawal","max_credit","min_credit","avg_credit","median_credit","iqr_credit","max_withdrawal","min_withdrawal","avg_withdrawal","median_withdrawal","iqr_withdrawal","avg_amount","median_amount","iqr_amount","max_balance","min_balance","avg_balance","median_balance","iqr_balance","frequency_num","avg_monthly_balance","time_bf_loan","age_at_loan","card_num","status","age","gender","avg_salary","district_id","nb_inhabitants","nb_cities","ratio_urban_inhabitants","unemploymant_95","unemploymant_96","nb_entrepeneurs","crime_95","loan_id","duration_loan","payments_loan"
11135,10,3,23204,67.1,7666.09,3250,15301.325,12600,8600,10333.3333333333,9800,2000,3512.37692307692,183.5,15401.9,52246,500,33229.1076923077,36777,23204,"monthly issuance",28865.2266666667,9291,349778,"none",1,62,"M",8819,75,138032,5,64.6,"5.38",5.66,99,4063,7262,36,5073
2694,27,43,26378,54.1,8784.24444444444,700,17399.7,18300,14.6,4746.80930232558,3532,5660,472.311428571429,-307.3,5096.725,64577.8,700,40976.9428571429,39417.35,14041.5,"monthly issuance",40144.6444139194,10000,319080,"none",1,58,"F",9920,7,94725,6,63.4,"2.26",2.87,130,4289,5519,12,7636
7753,44,50,46889,119.6,16546.9522727273,9257,27347.3,59600,14.6,11894.2,4454.5,15604.5,374.532352941176,-14.6,14037.75,124339.4,600,58226.5049019608,59096.3,36129.175,"monthly issuance",56046.6511827458,10103,260183,"classic",1,52,"F",10673,74,323870,1,100,"4.75",5.44,100,18782,6577,24,2154
7445,47,39,48139,27.2,9204.86382978723,314.8,14965.45,34100,14.6,8239.49019607843,3900,12156,126.679591836735,-14.6,4441.525,113350.7,200,46061.3193877551,46210.25,32184.45,"monthly issuance",41119.284137337,9997,549090,"none",1,81,"F",9624,64,197099,10,74.7,"1.60",2.31,145,4484,6509,24,2307
7485,18,16,34198,16,10908.2777777778,700,22645.25,22100,14.6,9090.76666666667,9939.5,11850,908.755555555556,0.7,10469.75,76736.9,700,32558.5333333333,30933.6,17352.675,"monthly issuance",31294.3315696649,9588,389490,"none",1,65,"F",10446,39,119895,4,89.9,"7.34",9.4,90,4947,6520,24,3800
8330,36,45,31677,9.2,7746.08888888889,214.2,20943.375,21700,14.6,5389.02666666667,3360,5580,448.802469135802,-14.6,3917.8,73069.1,600,46444.6395061728,43685.9,15718,"monthly issuance",42343.8083298112,10002,319427,"none",1,58,"F",9060,48,78955,9,59,"1.78",2.44,124,1655,6699,24,319
6555,31,37,48828,71.5,13977.9419354839,7707,28950.7,42900,30,9227.375,5150,9787.25,904.523943661972,-30,5699.35,133215.2,300,51034.361971831,46028,34745.9,"weekly issuance",49550.1106410256,10026,279307,"none",1,54,"F",8965,38,85852,4,59.8,"7.08",8.23,104,2653,6336,36,5900
10079,33,43,49980,91.4,17751.0666666667,16919,31044,49200,14.6,11879.8913043478,4950,19076,497.59746835443,-14.6,14611.5,143605.7,1100,63707.6265822785,60620.5,34170.05,"monthly issuance",60786.6320210862,9900,240289,"none",1,50,"F",8544,62,145688,5,40.7,"1.29",1.86,109,2719,7055,60,2785
5385,23,32,22404,32.2,7546.75217391304,1400,14802.45,13200,30,4546.57575757576,3100,6954,420.326785714286,-30,4269.55,53214,500,29069.1160714286,30366.1,12925.375,"weekly issuance",28121.8242424242,9886,310206,"none",1,58,"M",8254,44,105606,7,53,"2.79",3.76,97,2166,6103,60,2489
5891,30,48,48891,21.6,17495.9166666667,16747,32399.2,39900,14.6,8786.19230769231,5390,10125,829.213414634146,-3000,7177,102410.3,900,47426.55,44886.4,19532.8,"monthly issuance",46968.0268452381,10293,369489,"none",1,64,"M",9897,54,387570,1,100,"1.60",1.96,140,18721,6202,12,5432
10131,10,5,49757,18,6116.29,162,736.375,11400,2600,6100,5200,5100,2044.19333333333,26.4,3014,50757,1000,32702.7266666667,33445.6,8408.15,"monthly issuance",28125.0666666667,9375,349285,"none",-1,61,"M",12541,1,1204953,1,100,"0.29",0.43,167,85677,7066,36,5983
8321,44,43,15843,25.2,3735.12272727273,160.45,10457.425,11400,14.6,3140.4511627907,1700,5640.5,336.850574712644,25.2,1810.45,46550.2,800,30045.4,29756.6,10771.2,"monthly issuance",30501.8510871272,10097,240384,"none",1,50,"F",8909,77,148545,4,53.5,"4.01",5.56,113,3460,6696,60,1484
5256,20,9,41783,52.4,14309,7411.5,30565.1,54200,100,22822.2222222222,23400,20500,2785.51724137931,176.2,24181,120567.3,800,63579.2172413793,60883,39516.7,"issuance after transaction",43848.4570075758,9485,219307,"none",1,48,"M",8994,72,226122,4,62.6,"3.80",4.79,110,9672,6072,36,5388
813,37,36,18231,35.5,5601.63243243243,1400,12018.2,24322,14.6,4360.94146341463,2300,4485.4,364.894871794872,-14.6,3625,48277.9,1100,29380.8397435897,29066.75,10592.125,"monthly issuance",29046.8002083333,10301,389392,"none",1,65,"F",8427,16,93931,8,56.9,"1.12",1.54,107,1874,5130,12,2026
2933,34,45,42400,13.3,13755.7529411765,9061.5,26190.05,56700,14.6,8753.708,5753.5,5175,357.264285714286,-14.6,8307,121891.4,1100,44602.6416666667,40834.55,26535.65,"monthly issuance",38933.8913558201,9899,549615,"none",1,82,"M",10124,10,92084,5,46.7,"0.56",0.54,141,3810,5568,60,4542
8173,22,28,61260,147.8,20306.6227272727,7100,40492.925,39200,14.6,11913.4333333333,7000,17700,1718.12884615385,-14.6,7809.375,122523.5,1100,61531.5903846154,62771.95,36245.8,"monthly issuance",59734.8846969697,9815,180314,"none",1,44,"F",9622,11,75637,7,36.5,"0.45",0.59,154,3475,6678,12,6695
9833,20,43,73224,46.7,25763.21,24958,48634.7,54700,14.6,10531.8666666667,6531,3285,635.849230769231,-5915,8080.1,119900.1,1100,53379.1276923077,49969.1,28390.1,"monthly issuance",52205.8420690421,9797,259614,"none",1,52,"F",8547,20,70646,4,58.4,"2.65",3.64,120,1563,6998,12,8136
7769,20,24,46888,123.9,14476.62,8100,25727.125,35700,14.6,7506.48148148148,4900,8319.5,1848.02978723404,-14.6,6150,97457.4,900,49143.9659574468,48121.2,31615.35,"monthly issuance",50421.4448710317,9519,359995,"none",1,63,"M",8624,23,87419,9,85.5,"1.79",2.66,102,2879,6580,48,4085
6473,42,52,47434,17,15876.1357142857,9009,29264.05,52200,14.6,10865.1533333333,7400,10514.5,145.96568627451,-14.6,9301.5,126002.8,1100,52890.4039215686,48975.5,31907.175,"monthly issuance",49515.7250171887,10400,480407,"none",-1,74,"F",8754,12,107870,6,58,"3.83",4.31,137,3804,6316,12,6409
7454,35,47,10500,26.5,2763.92,3500,4056.5,4600,14.6,1450.71914893617,1200,1835,348.212195121951,-14.6,3100,31462.9,500,22551.7792682927,23375.6,6648.2,"monthly issuance",21653.9229875283,10107,380019,"none",1,64,"F",9753,4,149893,6,67.4,"4.64",5.05,109,5244,6512,48,1319
6930,19,18,36289.5,65.4,12249.3368421053,600,23918.65,29900,14.6,9074.35555555556,3220,18350,1875.64864864865,65.4,2000,80155.2,600,56927.4540540541,64208.2,22661,"monthly issuance",54813.8481481481,9618,340005,"none",1,60,"F",9832,41,118650,3,85.6,"3.32",4.48,114,6445,6407,24,1081
173,12,18,25970,19.5,9470.5,8906.5,17152.375,16400,14.6,4757.25555555556,3150,5680.75,933.846666666667,-462,5791.95,57865.3,500,38709.83,40422.45,8588.075,"monthly issuance",33549.0428571429,9405,549401,"none",1,81,"M",8512,66,125832,5,48.3,"3.51",4.12,102,2247,5002,12,8734
8051,33,46,39060,79,12819.8545454545,900,25847.8,29700,30,7286,4750,9921,519.802352941176,-30,5514.1,82981.9,200,43944.8894117647,43830.7,23445.3,"weekly issuance",42854.0384821429,10394,260187,"none",1,52,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,6647,48,4340
10439,13,11,56835,59.9,19058.4076923077,300,37665,37200,14.6,15095.7466666667,13577,15633.5,761.539285714286,-14.6,14462.475,97912.7,300,53976.2928571429,51378.05,21898.675,"monthly issuance",47425.4510416667,9482,410098,"none",1,68,"M",8512,66,125832,5,48.3,"3.51",4.12,102,2247,7137,24,6315
9337,39,29,44473,38.7,6244.83846153846,177.5,3814,27300,0.1,5771.99375,2800,8810.4,828.801408450704,59.1,2482.95,59944.2,144.2,33459.6802816901,33360.4,35638.65,"monthly issuance",36748.200914903,9691,349887,"none",1,61,"F",9650,30,94812,10,81.8,"3.38",3.67,100,2985,6903,24,2172
4576,27,44,28365,83.6,9277.39259259259,300,18748.6,18300,14.6,4921.74545454545,5080,5600,477.92676056338,-600,5698.15,57676.7,300,34084.4605633803,33811.7,15430.35,"monthly issuance",35591.9718353175,9999,300291,"none",1,57,"M",8561,27,67298,7,43.8,"0.65",1.29,110,1029,5918,36,8339
8027,22,33,58227,138.1,18776.6772727273,1400,38532.45,35000,30,10059.5,6350,8520,513.765,-3300,7593.975,117489.5,700,55570.305,54540.15,33534.075,"weekly issuance",52666.7697313797,9898,269895,"none",1,54,"M",8254,44,105606,7,53,"2.79",3.76,97,2166,6642,12,6470
5927,21,11,16356,16.7,3691.82380952381,149.9,10791.3,12600,14.6,4653.1,4700,4375,657.306060606061,112.4,2300,41410,200,28362.2484848485,30280.9,11818.7,"monthly issuance",25122.6022675737,9480,300093,"none",-1,57,"M",9045,15,58796,5,51.9,"3.13",3.6,124,1845,6210,48,1817
6273,16,13,49341,63.3,8544.575,193.75,9386.575,22800,14.6,7689.65714285714,5950,5800,968.6,100.7,5894.025,69174.6,200,36783.95,34673.25,16157.8,"monthly issuance",33310.6196969697,9886,319897,"none",1,59,"M",8965,38,85852,4,59.8,"7.08",8.23,104,2653,6279,24,3640
11065,31,47,17782,34.2,6597.13225806452,6000,11708.55,13700,14.6,3528.63829787234,1800,3600,495.70641025641,-14.6,2826.45,52365,1100,33857.1064102564,34012.6,11016.05,"monthly issuance",32178.6358928571,10293,529884,"none",1,80,"M",9622,11,75637,7,36.5,"0.45",0.59,154,3475,7249,48,1445
8558,8,2,27116,8.7,8081.3,468.55,14373.1,15200,6000,10600,10600,4600,4345.04,77.3,8065.2,58495.8,800,33211.76,34368.9,11948.675,"issuance after transaction",23026.1,387,589399,"none",1,85,"M",12541,1,1204953,1,100,"0.29",0.43,167,85677,6736,60,4806
5442,38,78,46739,33.3,11542.8289473684,7975.5,17291.525,37500,0.2,5396.2075,2070,7093,58.7364406779661,-1017,6081.825,96659.4,-1369.2,26252.8144067797,18050.3,27262.175,"monthly issuance",25151.137587482,10295,159496,"none",-1,42,"F",9675,34,125236,5,87.7,"6.43",7.68,100,5323,6112,24,7281
1811,18,27,35918,30.4,13387.9388888889,12122.5,23769.025,23200,14.6,7312.22857142857,4850,6860,787.836956521739,-1700,6955.025,74408.8,300,40061.5804347826,41074.75,21317.5,"monthly issuance",38246.2492460317,9701,519710,"none",1,78,"F",9317,40,128118,8,85.3,"6.49",7.07,97,6949,5319,60,3991
7844,14,12,47906,29.4,18390.3714285714,16468.5,31745.4,30600,14.6,12213.0705882353,10436,15276,1607.83870967742,-14.6,11271.45,83039.4,1000,50765.4161290323,49368.8,24826.25,"monthly issuance",46652.0395833333,9499,429509,"none",1,69,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,6596,24,3816
4260,18,20,36680,65.4,12456.1611111111,1200,24284.35,24600,14.6,8453.53333333333,5100,8181,507.764285714286,-557.3,6271.825,72512.5,1000,38426.7285714286,34945.45,21481.875,"monthly issuance",37104.8712962963,9615,269910,"none",1,53,"F",8772,56,124605,8,46,"4.69",4.98,126,2854,5837,60,4076
3354,19,27,15528,35.6,5352.51578947368,800,10202.95,16000,14.6,2933.23703703704,1540,3600,489.139130434783,-107.3,1974.25,41106.2,800,30533.3717391304,32068.7,11188.5,"monthly issuance",28793.5314373898,9600,419979,"none",1,68,"F",8288,63,86513,5,50.5,"3.79",4.52,110,1562,5657,12,415
2762,55,93,49388,29,19164.7490909091,16576,31789.2,61700,14.6,10327.2412371134,6500,8267,344.202631578947,-733,8823.75,141386,500,65097.2243421053,60423.05,38035.825,"monthly issuance",62062.4547504783,10385,270495,"none",1,54,"M",8402,19,51428,4,52.7,"3.13",3.98,120,999,5533,24,4641
6051,30,28,11600,9.5,3712.36666666667,4987,5580.825,9800,14.6,3270.98571428571,2700,3705,341.093103448276,30.55,7537,32720.4,500,19256.8948275862,19345.25,6208.525,"monthly issuance",18365.5327561328,9880,450190,"none",-1,72,"M",8772,56,124605,8,46,"4.69",4.98,126,2854,6232,36,7685
9265,53,62,49603,21.3,9203.38490566038,292.8,11091.1,38400,14.6,7481.9064516129,4017,6968,207.83652173913,-14.6,4246.4,103467.2,300,48944.827826087,43121.1,36617.3,"monthly issuance",45202.8791688713,10507,140209,"none",1,40,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,6888,12,3298
5228,26,42,74522,43.3,26907.2269230769,25340.5,49415.275,38200,100,12350.1224489796,7200,17900,1259.092,-2400,12725.55,134416.6,1000,61218.6586666667,55272.7,29875.85,"issuance after transaction",59553.9061054422,10088,370584,"none",1,63,"F",8909,77,148545,4,53.5,"4.01",5.56,113,3460,6066,24,7242
2824,19,24,22927.5,32.6,8327.07368421053,3500,15132.35,15000,14.6,4861.80833333333,4870,6641.75,965.837209302326,-14.6,6645.05,51971.4,800,37570.6279069767,36538.2,9722.5,"monthly issuance",34151.5459880952,9696,469699,"none",1,73,"F",9622,11,75637,7,36.5,"0.45",0.59,154,3475,5549,60,841
426,26,29,49937,8.2,14985.1730769231,17694,20486.825,41700,14.6,9129.08571428571,4787,12109,1149.12295081967,-14.6,18530,106259.6,900,57340.5081967213,55137.2,31573.6,"monthly issuance",48540.4142135642,9590,289916,"none",-1,55,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,5060,60,4201
4937,47,83,46108,6.7,14003.6021276596,8356,22720.4,60500,14.6,6737.3152173913,2687,7100,275.80071942446,-800,5514.1,134571.2,700,49727.4561151079,47877.9,33164.1,"monthly issuance",48346.2284656085,10503,430313,"none",1,70,"M",8754,12,107870,6,58,"3.83",4.31,137,3804,6004,24,5996
790,29,34,47493,30.9,11823.6689655172,5459,20359.8,36500,14.6,7468.90857142857,4500,6400,1273.040625,-14.6,5422.325,96064,-1069.7,36369.975,35895.9,30695.225,"monthly issuance",37009.8493333333,10213,429918,"none",-1,70,"M",9897,54,387570,1,100,"1.60",1.96,140,18721,5126,48,4336
10911,29,53,32823,12.1,11868.1862068966,2200,21729.6,24000,30,5792.88888888889,4300,5137,377.848192771084,-2100,7467,70288.4,1000,36635.1156626506,36978.9,14715.7,"weekly issuance",35640.5523015873,10199,400408,"none",1,67,"M",12541,1,1204953,1,100,"0.29",0.43,167,85677,7220,36,3647
8129,26,41,30918,16.5,11194.3346153846,10656,20445.5,20000,14.6,6288.01951219512,6184,8500,496.177611940299,-14.6,6356.05,62084,700,37912.9985074627,35876.3,11542.65,"monthly issuance",35805.4285714286,10104,289701,"none",1,56,"M",8390,45,77917,5,53.5,"2.28",2.89,132,2080,6668,36,2076
2176,46,72,47189,46.2,17668.6804347826,14240,31952.6,59400,14.6,9916.3825,5135,10391,154.354761904762,-1085,7775,193909.9,500,51992.8547619048,43151,42691.925,"monthly issuance",46736.5254135407,10124,279520,"none",-1,54,"F",8110,67,106054,6,63.1,"5.77",6.55,109,3244,5395,36,8308
9093,42,60,28413,43.8,6502.74761904762,139.3,18848.4,24960,14.6,4142.72333333333,2617,2679,240.705882352941,-57.3,2873.4,61043.3,800,32354.031372549,31916.25,14014.425,"monthly issuance",31487.6382242063,10187,409598,"none",1,67,"M",9538,47,162580,6,72.8,"1.51",1.81,111,6079,6836,60,3155
5215,29,73,23230.5,49.4,7799.86896551724,900,15343.4,14100,2,2620.45753424658,870,4943,342.18431372549,-372,1959.475,52184.7,200,32788.1421568627,32669.9,9186.875,"monthly issuance",32733.0442375925,10103,450496,"none",1,71,"F",8743,55,157042,9,33.9,"1.88",2.43,111,3659,6064,12,1219
9403,36,56,48618,85,13123.8777777778,4050,28193.275,49200,30,7007.41666666667,3225,4950,541.81875,-30,3541.025,116468.4,600,40838.7552083333,33379.5,29046.925,"weekly issuance",37925.7644400353,10478,500385,"none",1,76,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,6919,36,3358
9104,25,16,45518,19.3,10713.956,287.2,21997.8,40100,14.6,12331.7294117647,12081,15100,1385.94047619048,93.2,9483.525,119138.8,200,60743.9571428571,59753.5,28804.775,"monthly issuance",54564.7465079365,686,370502,"none",1,63,"F",10124,10,92084,5,46.7,"0.56",0.54,141,3810,6841,48,3585
5120,28,25,44802,52.9,13879.1892857143,7350,28070.45,33900,14.6,11015.0896551724,7700,17192,1213.67894736842,-14.6,14000,119934.1,200,45414.0736842105,41127,42485.7,"monthly issuance",37653.1252380952,10189,539795,"none",1,80,"F",12541,1,1204953,1,100,"0.29",0.43,167,85677,6038,48,6739
8519,49,59,56019,96.1,13496.9469387755,244.7,37167.5,38400,14.6,10038.3682539683,7600,9061,258.332142857143,-14.6,10438.975,104902.4,1100,48484.6241071429,44522.6,20719.125,"monthly issuance",49660.6482446312,10409,490685,"none",1,75,"F",8624,23,87419,9,85.5,"1.79",2.66,102,2879,6729,12,6224
10788,22,5,36574,24.2,4701.25454545455,187.6,5410.6,23900,1000,9800,6800,7300,2015.83703703704,136.7,2222.6,78327.5,800,32555.8185185185,30481.3,17399.8,"weekly issuance",30881.5425,9701,170296,"none",1,43,"F",8110,67,106054,6,63.1,"5.77",6.55,109,3244,7198,12,3814
8260,34,50,56152,32.7,20475.0441176471,18868.7,37214.75,40000,14.6,11116.3423728814,7200,13970.5,433.196774193548,-2100,8429.5,109178.4,200,57496.9892473118,54052.7,22482.2,"monthly issuance",54883.7618085618,10501,180301,"none",1,45,"M",8930,31,51313,4,59.2,"3.52",4.2,108,1328,6686,36,6239
